Format Version,1.21,Take Name,Take 2017-11-16 05.15.59 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-11-16 05.15.59 PM,Total Frames in Take,536,Total Exported Frames,536,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,wand,wand,wand,wand,wand,wand,wand,wand
,,"8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,0.029863,-0.047399,0.053633,-0.996988,-0.722233,1.290125,-2.191261,0.001104
1,0.008333,0.029587,-0.047577,0.053317,-0.997005,-0.722243,1.290169,-2.191122,0.001076
2,0.016667,0.029717,-0.047548,0.053233,-0.997007,-0.722218,1.289930,-2.191221,0.001106
3,0.025000,0.029632,-0.047694,0.053017,-0.997014,-0.722223,1.289824,-2.191215,0.001099
4,0.033333,0.029608,-0.047922,0.052796,-0.997015,-0.722243,1.289720,-2.191211,0.001097
5,0.041667,0.029524,-0.048077,0.052674,-0.997017,-0.722250,1.289609,-2.191181,0.001103
6,0.050000,0.029476,-0.048296,0.052366,-0.997024,-0.722237,1.289507,-2.191165,0.001105
7,0.058333,0.029508,-0.048422,0.052124,-0.997029,-0.722217,1.289343,-2.191128,0.001099
8,0.066667,0.029463,-0.048560,0.051808,-0.997041,-0.722184,1.289199,-2.191098,0.001100
9,0.075000,0.029334,-0.048780,0.051550,-0.997047,-0.722193,1.289080,-2.191066,0.001098
10,0.083333,0.029373,-0.048921,0.051295,-0.997052,-0.722166,1.288915,-2.191016,0.001100
11,0.091667,0.029295,-0.049042,0.050980,-0.997065,-0.722136,1.288770,-2.190970,0.001106
12,0.100000,0.029219,-0.049269,0.050669,-0.997072,-0.722143,1.288634,-2.190917,0.001107
13,0.108333,0.029080,-0.049546,0.050301,-0.997081,-0.722144,1.288517,-2.190859,0.001089
14,0.116667,0.028938,-0.049788,0.049922,-0.997092,-0.722121,1.288381,-2.190787,0.001087
15,0.125000,0.028761,-0.050168,0.049491,-0.997099,-0.722139,1.288266,-2.190711,0.001085
16,0.133333,0.028599,-0.050574,0.049053,-0.997105,-0.722153,1.288157,-2.190623,0.001082
17,0.141667,0.028384,-0.051092,0.048633,-0.997105,-0.722197,1.288072,-2.190523,0.001075
18,0.150000,0.028295,-0.051470,0.048080,-0.997115,-0.722190,1.287951,-2.190402,0.001056
19,0.158333,0.028269,-0.051948,0.047621,-0.997113,-0.722223,1.287812,-2.190270,0.001046
20,0.166667,0.028158,-0.052240,0.047201,-0.997121,-0.722208,1.287699,-2.190132,0.001036
21,0.175000,0.028151,-0.052863,0.047051,-0.997095,-0.722391,1.287502,-2.190009,0.001100
22,0.183333,0.028095,-0.053131,0.046516,-0.997108,-0.722418,1.287366,-2.189843,0.001108
23,0.191667,0.028157,-0.053456,0.046215,-0.997103,-0.722500,1.287210,-2.189649,0.001120
24,0.200000,0.028068,-0.053634,0.045677,-0.997120,-0.722561,1.287072,-2.189455,0.001129
25,0.208333,0.027949,-0.054327,0.045257,-0.997105,-0.722769,1.286984,-2.189126,0.001066
26,0.216667,0.027911,-0.054368,0.044625,-0.997133,-0.722877,1.286805,-2.188892,0.001085
27,0.225000,0.028130,-0.054021,0.043747,-0.997184,-0.722915,1.286465,-2.188723,0.001137
28,0.233333,0.027965,-0.053897,0.042629,-0.997244,-0.722985,1.286296,-2.188434,0.001106
29,0.241667,0.027727,-0.054021,0.041904,-0.997275,-0.723238,1.286068,-2.188206,0.001121
30,0.250000,0.027403,-0.054340,0.041126,-0.997299,-0.723597,1.285839,-2.187979,0.001119
31,0.258333,0.027068,-0.054421,0.040411,-0.997333,-0.723939,1.285561,-2.187767,0.001132
